"","churned","DispatchDay_1","Cust_Type","Cust_age","Total_Call_revenue","mean_time_to_resolve"
"1","1",1618,"3",470,1288.24,1.6
"2","0",1532,"3",597,2855,1
"3","1",1650,"3",437,2807.36,0.2
"4","0",1189,"2",722,1317,0.8
"5","0",1252,"3",799,1771,0.2
"6","0",1487,"3",677,4968.45,2
"7","1",1840,"2",510,7378.13,1.8
"8","1",1841,"2",249,2527.58,3
"9","1",2225,"3",986,629.72,0.4
"10","0",1316,"3",459,1260.8,1
"11","1",1882,"3",317,1607.04,0.6
"12","1",2145,"3",121,9045.95,9
"13","0",1170,"3",740,1337.06,0.8
"14","0",1170,"3",862,1139.28,0.8
"15","1",1866,"2",233,2744.84,2.4
"16","0",1336,"1",862,7019.76,2.33333333333333
"17","0",1809,"1",752,1563.2,0.666666666666667
"18","0",1093,"3",358,2171.05,0.2
"19","0",1616,"2",544,2510.78,0.2
"20","1",1096,"1",1119,3576.03,0
"21","0",1996,"1",899,1498.84,0.8
"22","0",1098,"1",816,3351.52,1
"23","0",1708,"1",719,1331,0.2
"24","0",1102,"1",577,1248.38,0
"25","0",1248,"1",526,1858.45,0.8
"26","0",1104,"1",740,1649.74,0
"27","1",1675,"1",848,1397.3,0.4
"28","0",1798,"1",861,1328.79,0.4
"29","0",1891,"3",1098,676,1.4
"30","0",1525,"3",450,2639.61,0
"31","0",1576,"2",958,1110.5,0.2
"32","0",1109,"2",466,1151.1,0
"33","0",1112,"1",632,915.76,0
"34","0",1113,"1",869,2007.61,0
"35","0",1298,"3",302,823,0.8
"36","0",2018,"2",964,3524.82,1.2
"37","1",1115,"3",952,816.43,0.2
"38","0",1165,"3",113,1893.64,0.4
"39","0",1690,"1",567,3036.73,2
"40","0",1792,"3",666,1290.66,0
"41","0",1474,"1",403,1773.73,0
"42","0",1130,"2",1056,3182.9,0.4
"43","0",1455,"2",414,1564.25,0.2
"44","0",1131,"1",885,1100.54,1.2
"45","0",1130,"1",849,2109.06,1
"46","1",1805,"1",1058,2400.33,1
"47","0",1844,"1",915,1498,0.4
"48","0",1997,"2",859,1309.62,1.2
"49","0",1140,"1",169,4407.42,1.2
"50","0",1140,"3",959,1073.66,0
"51","0",1441,"3",1021,668.1,2.8
"52","0",1977,"1",830,2287.04,0.2
"53","0",1178,"1",1051,1450.86,0.6
"54","0",1483,"2",653,882.9,0.4
"55","0",1154,"1",1048,5643.92,3.4
"56","1",1988,"1",996,1388.95,0.6
"57","0",1156,"1",950,1185,0
"58","0",1237,"1",886,1588.56,1.4
"59","0",1157,"2",1016,787.92,0.8
"60","0",1548,"3",957,1302,0.4
"61","0",1242,"1",511,4543.48,0.6
"62","0",1616,"1",513,945.64,1
